Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:13.167v1,"urn:cite:hmt:vaimg.VA167VN-0669@0.129,0.2447,0.057,0.033",urn:cite:hmt:msA.167v
urn:cts:greekLit:tlg5026.msAext.hmt:13.167v2,"urn:cite:hmt:vaimg.VA167VN-0669@0.147,0.6164,0.042,0.033",urn:cite:hmt:msA.167v
