Observation,TextUrn,Image,Comments
urn:cite:op:167vS.01,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ε,"urn:cite:hmt:vaimg.VA167VN-0669@0.2025,0.3146,0.0073,0.0064",
urn:cite:op:167vS.02,urn:cts:greekLit:tlg5026.msA:hmt:13.178@κ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2095,0.3133,0.0072,0.0093",
urn:cite:op:167vS.03,urn:cts:greekLit:tlg5026.msA:hmt:13.178@τ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2169,0.3156,0.0053,0.0061",
urn:cite:op:167vS.04,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ο,"urn:cite:hmt:vaimg.VA167VN-0669@0.2219,0.3161,0.0039,0.0041",
urn:cite:op:167vS.05,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ρ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2259,0.3149,0.0048,0.0091",
urn:cite:op:167vS.06,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ο[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.2308,0.3149,0.004,0.0049",
urn:cite:op:167vS.07,urn:cts:greekLit:tlg5026.msA:hmt:13.178@σ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2352,0.3148,0.0042,0.0045",
urn:cite:op:167vS.08,urn:cts:greekLit:tlg5026.msA:hmt:13.178@α,"urn:cite:hmt:vaimg.VA167VN-0669@0.2428,0.3136,0.0061,0.0054",
urn:cite:op:167vS.09,urn:cts:greekLit:tlg5026.msA:hmt:13.178@λ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2484,0.3132,0.0038,0.0056",
urn:cite:op:167vS.10,urn:cts:greekLit:tlg5026.msA:hmt:13.178@λ[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.2519,0.3132,0.0054,0.0057",
urn:cite:op:167vS.11,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ο[3],"urn:cite:hmt:vaimg.VA167VN-0669@0.2581,0.3142,0.0034,0.004",
urn:cite:op:167vS.12,urn:cts:greekLit:tlg5026.msA:hmt:13.178@υ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2626,0.3144,0.004,0.0038",
urn:cite:op:167vS.13,urn:cts:greekLit:tlg5026.msA:hmt:13.178@π,"urn:cite:hmt:vaimg.VA167VN-0669@0.2692,0.3124,0.0064,0.0071",
urn:cite:op:167vS.14,urn:cts:greekLit:tlg5026.msA:hmt:13.178@η,"urn:cite:hmt:vaimg.VA167VN-0669@0.2764,0.3133,0.0042,0.0046",
urn:cite:op:167vS.15,urn:cts:greekLit:tlg5026.msA:hmt:13.178@χ,"urn:cite:hmt:vaimg.VA167VN-0669@0.2808,0.3128,0.0096,0.0091",
urn:cite:op:167vS.16,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ρ[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.2903,0.3126,0.0038,0.0082",
urn:cite:op:167vS.17,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ο[4],"urn:cite:hmt:vaimg.VA167VN-0669@0.295,0.3136,0.0038,0.004",
urn:cite:op:167vS.18,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ο[5],"urn:cite:hmt:vaimg.VA167VN-0669@0.2997,0.313,0.0038,0.0044",
urn:cite:op:167vS.19,urn:cts:greekLit:tlg5026.msA:hmt:13.178@σ[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.3051,0.3121,0.0052,0.0048",
urn:cite:op:167vS.20,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ε[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.313,0.3129,0.0037,0.0053",
urn:cite:op:167vS.21,urn:cts:greekLit:tlg5026.msA:hmt:13.178@ι,"urn:cite:hmt:vaimg.VA167VN-0669@0.3169,0.3128,0.003,0.005",
urn:cite:op:167vS.22,urn:cts:greekLit:tlg5026.msA:hmt:13.178@σ[3],"urn:cite:hmt:vaimg.VA167VN-0669@0.3205,0.3124,0.0044,0.005",
urn:cite:op:167vS.23,urn:cts:greekLit:tlg5026.msA:hmt:13.178@α[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.3249,0.312,0.0049,0.0058",
urn:cite:op:167vS.24,urn:cts:greekLit:tlg5026.msA:hmt:13.178@τ,"urn:cite:hmt:vaimg.VA167VN-0669@0.3296,0.308,0.0086,0.0102",
