Observation,TextUrn,Image,Comments
urn:cite:op:leiden3.15,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ι,"urn:cite:hmt:vaimg.VA166RN-0337@0.3772,0.2104,0.014,0.02",
urn:cite:op:leiden3.16,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ε[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.3908,0.2151,0.0103,0.0128",
urn:cite:op:leiden3.17,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ν,"urn:cite:hmt:vaimg.VA166RN-0337@0.3997,0.2184,0.0103,0.0128",
urn:cite:op:leiden3.18,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@α[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.41,0.2179,0.0085,0.0117",
urn:cite:op:leiden3.19,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ι[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.4174,0.2201,0.0066,0.01",
urn:cite:op:leiden3.20,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ν[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.4266,0.2196,0.0122,0.0114",
urn:cite:op:leiden3.21,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ε[4],"urn:cite:hmt:vaimg.VA166RN-0337@0.4384,0.2196,0.0096,0.0114",
urn:cite:op:leiden3.22,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@α[4],"urn:cite:hmt:vaimg.VA166RN-0337@0.4469,0.2215,0.0096,0.0083",
urn:cite:op:leiden3.23,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@σ[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.4568,0.2209,0.0133,0.0094",
urn:cite:op:leiden3.24,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ο,"urn:cite:hmt:vaimg.VA166RN-0337@0.4764,0.2168,0.0144,0.013",
urn:cite:op:leiden3.25,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ι[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.487,0.2135,0.0111,0.0172",
urn:cite:op:leiden3.26,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@τ[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.4959,0.2204,0.0133,0.0103",
urn:cite:op:leiden3.27,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ο[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.5088,0.2201,0.0085,0.0108",
urn:cite:op:leiden3.28,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@π,"urn:cite:hmt:vaimg.VA166RN-0337@0.5188,0.2226,0.0133,0.0108",
