urn:cite:op:leidenx.30,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@ο[4],"urn:cite:hmt:vaimg.VA166VN-0668@0.4397,0.123,0.0114,0.0082",
urn:cite:op:leidenx.31,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@μ,"urn:cite:hmt:vaimg.VA166VN-0668@0.45,0.1246,0.0114,0.0082", 
urn:cite:op:leidenx.32,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@ε[3],"urn:cite:hmt:vaimg.VA166VN-0668@0.4587,0.1242,0.0114,0.0082",
urn:cite:op:leidenx.33,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@τ[4],"urn:cite:hmt:vaimg.VA166VN-0668@0.4668,0.1201,0.0114,0.0131",
urn:cite:op:leidenx.34,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@ε[4],"urn:cite:hmt:vaimg.VA166VN-0668@0.4723,0.1234,0.0114,0.0098",
urn:cite:op:leidenx.35,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@λ,"urn:cite:hmt:vaimg.VA166VN-0668@0.4777,0.1234,0.0114,0.0098",
urn:cite:op:leidenx.36,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@θ,"urn:cite:hmt:vaimg.VA166VN-0668@0.4864,0.1226,0.0114,0.0098",
urn:cite:op:leidenx.37,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@ω,"urn:cite:hmt:vaimg.VA166VN-0668@0.494,0.1218,0.0114,0.0098", 
urn:cite:op:leidenx.38,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@ν[4],"urn:cite:hmt:vaimg.VA166VN-0668@0.5027,0.1226,0.0114,0.0098",
urn:cite:op:leidenx.39,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@π,"urn:cite:hmt:vaimg.VA166VN-0668@0.5207,0.1234,0.0114,0.0098",
urn:cite:op:leidenx.40,urn:cts:greekLit:tlg5026.msA:hmt:13.X1@ρ[4],"urn:cite:hmt:vaimg.VA166VN-0668@0.5283,0.1242,0.0114,0.0098",
